"article_title","author","journal","citations","year"
"Key Potential Improvements in Statistics and Data for Policies Concerning Global Warming: The Role of Federal Statistical Agencies","WD Nordhaus","Prepared for National Research Council (US) Committee on National Statistics …, 2007","2","2007"
"Közgazdaságtan, Akadémia kiadó, Budapest","PA Samuelson, WD Nordhaus","","2","2005"
"The impact of global warming on agriculture: A ricardian analysis","R Mendelsohn, WD Nordhaus, D Shaw","Climate change, 99-117, 2004","2","2004"
"An economist’s view of the statistical state of the nation","WD Nordhaus","Testimony before the Joint Economic Committee of the US Congress, 107th Cong …, 2002","2","2002"
"The Alchemist fallacy and the new economy","WD Nordhaus","NBER Summer Institute. Mimeo, 2002","2","2002"
"Warming the world: Economic models of global warming","G Yohe","Journal of Economic Literature 40 (2), 573, 2002","2","2002"
"Technological change and the environment","N Nakicenovic, WD Nordhaus","Resources for the Future, 2002","2","2002"
"Accounting for subsoil mineral resources","D Nordhaus, EC Kokkenlenberg","Survey of Current Business, 24-50, 2000","2","2000"
"Climate Change Damages: Comments","RSJ Tol","Economics and Policy Issues in Climate Change, 237-242, 1999","2","1999"
"Instructor's Resource Manual to Accompany Economics","P Samuelson, W Nordhaus","Irwin/McGraw-Hill, 1998","2","1998"
"What is the value of scientific knowledge? An application to global warming using the PRICE model","WD Nordhaus, D Popp","Fuel and Energy Abstracts 1 (39), 65, 1998","2","1998"
"STABILIZATION AND ECONOMIC-REFORM IN RUSSIA-COMMENTS AND DISCUSSION","L Summers, W Nordhaus","Brookings Papers on Economic Activity, 112-126, 1992","2","1992"
"Ekonómia. II. diel","PA Samuelson, WD Nordhaus","Bradlo, 1992","2","1992"
"Stabilizing the Soviet Economy","WD Nordhaus","Cowles Foundation Discussion Papers, 1991","2","1991"
"Do Borders Matter","WD Nordhaus, MJ Peck, TJ Richardson","Soviet Economic Reform after the Coup, 1991","2","1991"
"A perspective on costs and benefits","WD Nordhaus","EPA J. 16, 44, 1990","2","1990"
"Ingreso nacional y ocupación","A Collery","Biblioteca de economía política, 1970","2","1970"
"Las finanzas del siglo XX y otros ensayos.","G Ahumada","","2","1964"
"y TOBIN, J.(1972)-","WD Nordhaus","Is growth obsolete, 0","2",""
"Environmental consumption taxes on animal food products to mitigate Greenhouse gas emissions from the European Union","T Jansson, S Säll","Climate Change Economics 9 (04), 1850009, 2018","1","2018"
"Global Carbon Pricing: The Path to Climate Cooperation","RN Cooper, C Gollier, WD Nordhaus, I Parry, JE Stiglitz, J Tirole, ...","MIT Press, 2017","1","2017"
"TO SLOW OR NOT TO SLOW: THE ECONOMICS OF THE GREENHOUSE EFFECT","WD Nordhaus","Economic Journal 125 (583), 603-620, 2015","1","2015"
"How Should Benefits and Costs Be Discounted in an Intergenerational Context?","RSJ Tol, KJ Arrow, ML Cropper, C Gollier, B Groom, GM Heal, RG Newell, ...","Department of Economics, University of Sussex Business School Working Paper …, 2013","1","2013"
"Diferenciación de trigo según calidad: la necesidad de una Agencia Nacional de Comercialización de Trigo","P Lavarello, E Goldstein","Realidad Económica, 2010","1","2010"
"The many advantages of carbon taxes","WD Nordhaus","Growth, 64, 2008","1","2008"
"CO2 emissions: Getting bang for the buck-Response","WD Nordhaus","Science 318 (5858), 1866-+, 2007","1","2007"
"The conference on research in income and wealth","CR Hulten","NBER Reporter Online, 1-4, 2005","1","2005"
"Recommendations to the Bureau of Economic Analysis On Improving the National Economic Accounts","WD Nordhaus","Survey of Current Business, 8-19, 2002","1","2002"
"Puzzles About the American Economy in the Current Recession and Recovery","WD Nordhaus","Unpublished manuscript, Yale University 15, 2002","1","2002"
"Nach Kyoto: Alternative Mechanismen zur Kontrolle der Erderwärmung","WD Nordhaus","ET. Energiewirtschaftliche Tagesfragen 51 (10), 618-624, 2001","1","2001"
"To Slow or Not to Slow: The Economics of the Greenhouse Effect","WD Nordhaus","Environmental economics, 2001","1","2001"
"Technological Change and the Environment","R Stavins, A Jaffe, R Newell","Harvard University, John F. Kennedy School of Government Working Paper Series, 2000","1","2000"
"Effective Structural Relief in USV Microsoft","RE Litan, WD Nordhaus","AEI-Brookings Joint Center for Regulatory Studies, 2000","1","2000"
"Oil and Economic Performance in Industrial Countries'","WD Nordhaus","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 119, 3-61, 2000","1","2000"
"Economía y comunicación","M Luna","Eudecor SRL,, 1997","1","1997"
"14 Government Policy to Promote Economic Growth","WD Nordhaus","Money, Macroeconomics, and Economic Policy: Essays in Honor of James Tobin, 329, 1991","1","1991"
"POLITICAL BUSINESS CYCLES-THE POLITICAL-ECONOMY OF MONEY, INFLATION, AND UNEMPLOYMENT-WILLETT, TD","WD Nordhaus","Journal of Economic Literature 27 (4), 1688-1689, 1989","1","1989"
"[Ten Years of Mrs. T.]: Comment","WD Nordhaus","NBER Macroeconomics Annual 4, 61-67, 1989","1","1989"
"Inflation and Unemployment","WD NORDHAUS","NBER Macroeconomics Annual 1989 4, 61, 1989","1","1989"
"Comments and Discussion","C Sims, W Nordhaus, W Salant, G Perry, W Poole, F Modigliani, H Wallich, ...","Brookings Papers on Economic Activity 1985 (1), 260-262, 1985","1","1985"
"Reflections on Monetarism, Stagnation and Other North American Exports.","WD Nordhaus","International Social Science Journal 35 (3), 493-506, 1983","1","1983"
"The Efficient Use of Energy Resources, Monograph 26","JA Hasson","The Energy Journal 1 (4), 98-100, 1980","1","1980"
"COWLES FOUNDATION FOR RESEARCH IN ECONOMCS AT YALE UNIVERSITY","WD Nordhaus","Recuperado el 7, 1979","1","1979"
"Will Bottlenecks Slow the Expansion?","WD Nordhaus","Review, 1977","1","1977"
"Proceedings of the Workshop on Energy Demand","WD Nordhaus","CP-76-001, 1976","1","1976"
"Long Term Projections of Power: Political, Economic and Military Forecasting","WD Nordhaus","The Economic Journal 85 (339), 665-666, 1975","1","1975"
"Notes on Transactions Costs and the Analysis of Microeconomic Monetary Theory","W Nordhaus","Cowles Foundation for Research in Economics, Yale University, 1972","1","1972"
"Tax Incentives for Low Income Housing","WD Nordhaus","Proceedings of the Annual Conference on Taxation under the Auspices of the …, 1968","1","1968"
"Técnicas de control monetario/Techniques of monetary control","J Aschheim","Limusa-Wiley,, 1967","1","1967"
"Environmental Economics and Policy","R Stavins, C Carraro, C Kolstad, T Cameron, R Carson, A Fisher, G Heal, ...","vol, 0","1",""
"Replication data for: Projections and Uncertainties about Climate Change in an Era of Minimal Climate Policies","W Nordhaus","Inter-university Consortium for Political and Social Research (ICPSR), 2019","","2019"
"Replication data for: Environmental Accounting for Pollution in the United States Economy","NZ Muller, R Mendelsohn, W Nordhaus","Inter-university Consortium for Political and Social Research (ICPSR), 2019","","2019"
"Can We Control Carbon Dioxide?(From 1975)","W Nordhaus","American Economic Review 109 (6), 2015-35, 2019","","2019"
"Border Adjustments supplementing a cap and trade system to combat climate change","M Hecht, W Peters, HUIC CHAI, WEIH HONG, JM REILLY, S PALTSEV, ...","Policy 9 (01), 2019","","2019"
"International cooperative initiatives in global climate governance: Raising the ambition level or delegitimizing the UNFCCC?","I Boran, KW Abbott, KW Abbott, M Adler, LB Andonova, MM Betsill, ...","Political Theory and Global Climate Action: Recasting the Public Sphere 88 …, 2019","","2019"
"Conceptual design of a deep ocean water upwelling structure for development of fisheries","H Du, H Du, B Metz, OR Davidson, PR Bosch, R Dave, LA Meyer, ...","An International Legal Framework for Geoengineering: Managing the Risks of …, 2018","","2018"
"Financial markets","SR Trivedi, S Bhattacharya, SR Trivedi, S Bhattacharya, A Abiad, A Mody, ...","Financial Economy: Evolutions at the Edge of Crises 95 (1), ix-xi, 2018","","2018"
"O modelo multiplicador","PA Samuelson, WD Nordhaus","","","2018"
"Expansão da prosperidade versus segurança económica","PA Samuelson, WD Nordhaus","","","2018"
"Análise geométrica do equilíbrio do consumidor","PA Samuelson, WD Nordhaus","","","2018"
"Moeda e banca comercial","PA Samuelson, WD Nordhaus","","","2018"
"Medição da actividade económica","PA Samuelson, WD Nordhaus","","","2018"
"Os Elementos B· sicos da Oferta e Procura","PA Samuelson, WD Nordhaus","","","2018"
"Os mercados e os rendimentos","PA Samuelson, WD Nordhaus","","","2018"
"Como ler gr· ficos","PA Samuelson, WD Nordhaus","","","2018"
"O desafio do desenvolvimento","PA Samuelson, WD Nordhaus","","","2018"
"Políticas para o crescimento e estabilização","PA Samuelson, WD Nordhaus","","","2018"
"Assegurar a estabilidade dos preços","PA Samuelson, WD Nordhaus","","","2018"
"Aplicações da oferta e da procura","PA Samuelson, WD Nordhaus","","","2018"
"Banco central e política monetária","PA Samuelson, WD Nordhaus","","","2018"
"Macroeconomia em economia aberta","PA Samuelson, WD Nordhaus","","","2018"
"Warming And Income Growth In The United States: A Heterogeneous, Common Factor Dynamic Panel Analysis","B Liddle","Climate Change Economics (CCE) 9 (04), 1-14, 2018","","2018"
"The effects of HMO penetration on preventable hospitalizations","W Jeanne, OD William, JM Abraham, R Feldman, A Adams, R Ekelund, ...","Understanding Healthcare Economics: Managing Your Career in an Evolving …, 2018","","2018"
"Artículo II. Contribución de los sistemas agroforestales con cacao y café en la economía y nutrición familiar en los departamentos Norte y Noreste de Haití","V Lohier, JC Ingram, FAJ DeClerck, C Rumbaitis del Rio, ...","Potencialidad para la intensificación agroecológica en sistemas …, 2018","","2018"
"Rolling the ‘DICE’: An optimal transition path for controlling greenhouse","WD Nordhaus","Climate Change, 135, 2017","","2017"
"Has Competition Lowered Prices?","S Folland, AC Goodman, M Stano, R Aaberge, HJ Aaron, TA Abbott, ...","The Economics of Health and Health Care 94 (6), xxiii-xxvi, 2017","","2017"
"Earthquake Triggering and Large-Scale Geologic Storage of Carbon Dioxide","JT Abatzoglou, AP Williams, W Abrahamse, L Steg, C Vlek, ...","Sustainability: An Environmental Science Perspective 113 (42), 1-6, 2017","","2017"
"Cu<U+1ED1>n kinh t<U+1EBF> h<U+1ECD>c c<U+1EE7>a Paul A. Samuelson và William D. Nordhaus du<U+1EE3>c xu<U+1EA5>t b<U+1EA3>n l<U+1EA7>n d<U+1EA7>u vào nam 1948, dã du<U+1EE3>c d<U+1ECB>ch ra nhi<U+1EC1>u th<U+1EE9> ti<U+1EBF>ng và tái b<U+1EA3>n t<U+1EDB>i 15 l<U+1EA7>n. Ð<U+1ED3>ng th<U+1EDD>i du<U+1EE3>c xem là …","PA Samuelson, WD Nordhaus","12/29/2006, 2017","","2017"
"Explaining Zambian poverty: a history of (non-agricultural) policy since independence","A Abdul-Gafaru, A Abdul-Gafaru, A Abdul-Gafaru, S Hickey, N Abonyi, ...","Fiscal Policy and the Natural Resources Curse: How to Escape from the …, 2017","","2017"
"Land use, environmental change, and sustainable development: The role of institutional diagnostics","I Adelman, CT Morris, WN Adger, K Brown, J Fairbrass, A Jordan, ...","Globalization: Interdependencies & Coordination 35 (6), 1-24, 2017","","2017"
"War Message, April 2 1917","D Acheson, ED Adams, H Adams, H Adams, R Adkins, T Allan, HC Allen, ...","Wilsonian Approaches to American Conflicts: From the War of 1812 to the …, 2017","","2017"
"FAS Senate","W Nordhaus","YALE UNIVERSITY, 2016","","2016"
"The other side of the Chinese economic miracle","F Ackerman, A Aggarwal, V Ahuja, A Alesina, E Glaeser, A Alesina, ...","An Introduction to Climate Change Economics and Policy 19 (1), x-xi, 2016","","2016"
"The Financial Crisis of 1929 Reexamined: The Role of Soaring Inequality","JM Legge, ES Andersen, KJ Arrow, N Ascherson, PS Atiyah, R Axelrod, ...","Economics versus Reality: How to Be Effective in the Real World in Spite of …, 2016","","2016"
"The Rise and Fall of American Growth: The US Standard of Living Since the Civil War","WD Nordhaus","NEW YORK REVIEW OF BOOKS 63 (13), 64-+, 2016","","2016"
"The Ethics of Price-Gouging","B Ackerman, J Fiskin, BM Allan, RG Fryer Jr, O Al-Ubayli, D Houser, J Nye, ...","Markets Without Limits: Moral Virtues and Commercial Interests 8 (3), 2-42, 2016","","2016"
"Impacts of Corporate Code of Conduct on Labor Standards: A Case Study of Reebok’s Athletic Footwear Supplier Factory in China","L Benería, G Berik, MS Floro, KG Abraham, CD Mackie, L Abu-Lughod, ...","Gender, Development, and Globalization: Economics as if All People Mattered …, 2016","","2016"
"FAS Senate","B Gage, J Harris, M Jacobson, R Koizim, C Kraus, K Lofton, R Maruyama, ...","YALE UNIVERSITY, 2016","","2016"
"'The Pope & the Planet': An Exchange Reply","WD Nordhaus","NEW YORK REVIEW OF BOOKS 62 (18), 68-68, 2015","","2015"
"Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US?","P Poschen, P Poschen, P Poschen, F Ackerman, EA Stanton, L Aguilar, ...","Decent Work, Green Jobs and the Sustainable Economy: Solutions for Climate …, 2015","","2015"
"Climate Shock: The Economic Consequences of a Hotter Planet","WD Nordhaus","NEW YORK REVIEW OF BOOKS 62 (10), 36-39, 2015","","2015"
"2013 world hunger and poverty facts and statistics","WM Adams, L Anseeuw, D Archer, K Ban, G Barbose, B Barrow, ...","Will Sustainability Fly? Aviation Fuel Options in a Low-Carbon World 13 (2 …, 2015","","2015"
"ECONOMIC LITERATURE","W Nordhaus","Journal of Economic Literature, 2015","","2015"
"Front Matter (pp. i-viii)","WD Nordhaus, WR Johnson, JM Poterba, MW Watson, R Barsky, ...","American Economic Review 104 (5), 2014","","2014"
"Minutes of the Meeting of the Executive Committee Chicago, IL April 17, 2014","E Duflo, S Durlauf, A Finkelstein, P Goldberg, C Goldin, G Imbens, ...","","","2014"
"An overview of current research on EU ETS: Evidence from its operating mechanism and economic effect","R Aaberge, M Bhuller, A Langorgen, M Mogstad, AB Abel, N Gregory, ...","Public Service Efficiency: Reframing the debate 94 (9–10), 1-10, 2014","","2014"
"<U+041D><U+0430><U+043F><U+0440><U+044F><U+043C><U+0438> <U+0444><U+0443><U+043D><U+043A><U+0446><U+0456><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0457> <U+0442><U+0440><U+0430><U+043D><U+0441><U+0444><U+043E><U+0440><U+043C><U+0430><U+0446><U+0456><U+0457> <U+0441><U+0443><U+0431>’<U+0454><U+043A><U+0442><U+0456><U+0432> <U+043C><U+0456><U+0436><U+043D><U+0430><U+0440><U+043E><U+0434><U+043D><U+0438><U+0445> <U+0432><U+0456><U+0434><U+043D><U+043E><U+0441><U+0438><U+043D> <U+0437><U+0430> <U+0443><U+043C><U+043E><U+0432> <U+0433><U+043B><U+043E><U+0431><U+0430><U+043B><U+0456><U+0437><U+0430><U+0446><U+0456><U+0457> <U+0441><U+0432><U+0456><U+0442><U+043E><U+0432><U+043E><U+0457> <U+0435><U+043A><U+043E><U+043D><U+043E><U+043C><U+0456><U+043A><U+0438>","<U+041D><U+041C> <U+0414><U+0430><U+043B><U+0435><U+0432><U+0441><U+044C><U+043A><U+0430>","<U+0411><U+0456><U+0437><U+043D><U+0435><U+0441> <U+0406><U+043D><U+0444><U+043E><U+0440><U+043C>, 14-19, 2014","","2014"
"President's Foreword","W Nordhaus","American Economic Review 104 (5), xi-xii, 2014","","2014"
"Discounting and","WD Nordhaus","Discounting and Intergenerational Equity, 145, 2013","","2013"
"Minutes of the Meeting of the Executive Committee Chicago, IL April 12, 2013","HROH Hotel, JC Auerbach, E Duflo, R Fernandez, A Finkelstein, ...","","","2013"
"Committee on the Effects of Provisions in the Internal Revenue Code on Greenhouse Gas Emissions Board on Science, Technology, and Economic Policy Policy and Global Affairs","WD Nordhaus, SA Merrill, PT Beaton","","","2013"
"Ekonomia (rec. Stanislaw Lis)","PA Samuelson, WD Nordhaus","Ekonomista, 2013","","2013"
"ADVANCE COPY","WD Nordhaus, SA Merrill, PT Beaton","","","2013"
"THE CLIMATE CONTRARIANS reply","WD Nordhaus","NEW YORK REVIEW OF BOOKS 59 (13), 85-85, 2012","","2012"
"On-Street Parking: Effects on Traffic Congestion","DC Shoup, M Abrahams, G Adams, A Adiv, W Wang, M Adler, A Alchian, ...","The High Cost of Free Parking 6 (2), xix-xlii, 2011","","2011"
"Hidden Costs of Energy: Unpriced Consequences of Energy Production and Use","WD Nordhaus","NEW YORK REVIEW OF BOOKS 58 (16), 29-31, 2011","","2011"
"The missionary politics of Hugo Chávez","RP Abelson, DR Kinder, MD Peters, ST Fiske, WC Adams, DJ Smith, ...","Political Marketing: Theoretical and Strategic Foundations 42 (4), ix-xi, 2011","","2011"
"The Problem of Fat Tails","W Nordhaus","","","2011"
"Energy conservation: An alternative for investment in the oil sector for OPEC member countries","P Aalto, P Aalto, H Aaron, S Abbasi, N Abbasi, AM Abbot, J Achenbach, ...","Energy Policy in the US: Politics, Challenges, and Prospects for Change 65 …, 2011","","2011"
"The impact of global warming on agriculture: A Ricardian analysis","K Ibrahim, MN Shamsudin, R Yacob, A Radam, J Ajetomobi, A Abiodun, ...","Trends in Applied Sciences Research 9 (9), 613-622, 2011","","2011"
"De Tomás Moro al hambre cero: la renta básica de ciudadanía","EA Duhalde, LIL Silva","Planeta,, 2011","","2011"
"Induced Technological Change and the Environment: An Introduction","A Gri‘ibler, N Nakicenovic, WD Nordhaus","Technological Change and the Environment, 1, 2010","","2010"
"The many advantages of carbon taxes [Paper in: A Taxing Debate: Climate Policy Beyond Copenhagen.]","WD Nordhaus","Growth, 64, 2009","","2009"
"A Question of Balance: Weighing the Options on Global Warming Policies. By William Nordhaus. New Haven: Yale University Press, 2008. 234p. $28.00.-Atmospheric Justice: A …","M Paterson","Perspectives on Politics 7 (2), 446-448, 2009","","2009"
"Model Developments for Development of Improved Emissions Scenarios: Developing Purchasing-Power Parity Models, Analyzing Uncertainty, and Developing Data Sets for Gridded …","Z Yang, W Nordhaus","The Research Foundation of the State University of New York at Binghamton …, 2009","","2009"
"1 The Effects of the Security Environment on Military Expenditures: Pooled Analyses of 159 Countries, 1950-20001","W Nordhaus, JR Oneal, B Russett","","","2009"
"The Unofficial Economy and Economic Development. Comments and Discussion","CI Jones, WD Nordhaus","Brookings Papers on Economic Activity 2008, 353-363, 2008","","2008"
"A Question of Balance: Weighting the Options on Global Warming Policies","NC RICHARD","Foreign Affairs 87 (5), 166-167, 2008","","2008"
"Monetary Union and Fiscal Policy Discipline, in the Economics of EMU–Background Studies","D Abbott, M Baimbridge, B Burkitt, P Whyman, K Abbott, R Ackrill, ...","Britain, the Euro and Beyond 35 (3), xi-xii, 2008","","2008"
"El problema del calentamiento global","D Zenghelis, FJ Dyson, L Sullivan, WD Nordhaus","Estudios públicos, 83-118, 2008","","2008"
"An Economic Theory of Technological Change', American Economic Review, Papers and Proceedings, LIX (2), May, 18-28","WD Nordhaus","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 215, 118, 2008","","2008"
"Report of the First Four Years of the AEA Committee on Economic Statistics","W Nordhaus","The American Economic Review 97 (2), 581, 2007","","2007"
"Economic impact of climate change on the Malaysian palm oil production.","Z Zainal, MN Shamsudin, ZA Mohamed, SU Adam, S Kaffashi, WN Adger, ...","Research Journal of Environmental Sciences 8 (6), pp: 717-743-pp: 717-743, 2007","","2007"
"Paul Samuelson and Global","P Goods, WD Nordhaus","Samuelsonian Economics and the Twenty-First Century, 88, 2006","","2006"
"Final Report on Project “Modeling Technological Innovations and Diffusions Using the New RICE Model”","Z Yang, WD Nordhaus","The Research Foundation of State University of New York at Binghamton, 2006","","2006"
"Front matter, A New Architecture for the US National Accounts","DW Jorgenson, JS Landefeld, WD Nordhaus","A New Architecture for the US National Accounts, -10-0, 2006","","2006"
"Foreword (page 9)","GA Akerlof, C Goldin, S Barrett, WA Pizer, WD Nordhaus, SM Olmstead, ...","American Economic Review 96 (2), 2006","","2006"
"Problemas en la Explicación del Comportamiento Reproductivo (sobre las mediaciones)","P Acosta, C Calderón, P Fajnzylber, H López, acs, H Adams, J Richard, ...","The World Economy 29 (7), 957-987, 2006","","2006"
"Integrating expenditure and income data: What to do with the statistical discrepancy?","EJ Bartelsman, JJ Beaulieu, DW Jorgenson, SJ Landefeld, WD Nordhaus","A New Architecture for the US National Accounts, 309-354, 2006","","2006"
"America’s Protege in the East? The Emergence of Poland as a Regional Leader","M Mihalka, G Almond, RJ Art, KN Waltz, T Banchoff, R Barnet, R Biermann, ...","Old Europe, New Europe and the US: Renegotiating Transatlantic Security in …, 2005","","2005"
"Economics, Politics and the 2004 Election: Electoral Victory and Statistical Defeat","WD Nordhaus","Yale Working Papers on Economic Applications and Policy Discussion Paper, 2005","","2005"
"Costs, benefits, and rationing of health care: comments on Cutler’s “What Is Good Care, and What Is Bad?”","WD Nordhaus","Conference Series;[Proceedings] 50 (Jun), 77-87, 2005","","2005"
"Modeling Technological Innovations and Diffusions Using the New RICE Model","Z Ynag, WD Nordhaus","Pennsylvania State University (US), 2004","","2004"
"The fabulous decade: Macroeconomic lessons from the 1990s","WD Nordhaus","NEW YORK REVIEW OF BOOKS 51 (1), 28-31, 2004","","2004"
"The roaring nineties: A new history of the world's most prosperous decade","WD Nordhaus","NEW YORK REVIEW OF BOOKS 51 (1), 28-31, 2004","","2004"
"El costo social del monopolio de TELMEX en la telefonia fija local","J Gonzalez Lugo Lopez","e-libro, Corp., 2004","","2004"
"Jing ji xue: di shi qi ban","PA Samuelson, WD Nordhaus","Post & Telecom Press, 2004","","2004"
"[What Does the Public Know about Economic Policy, and How Does It Know It?.] Comment and Discussion","WD Nordhaus","Brookings Papers on Economic Activity 2004 (1), 388-397, 2004","","2004"
"A Regional Dynamic General-Equilibrium Model of Alternative Climate-Change Strategies', American Economic Review, 86 (4), September, 741-65","WD Nordhaus, Z Yang","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 177, 209-233, 2004","","2004"
"Rolling the"" DICE"": An Optimal Transition Path for Controlling Greenhouse Gases', Resource and Energy Economics, 15 (1), March, 27-50","WD Nordhaus","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 177, 323-346, 2004","","2004"
"CD KOLSTAD","GS TOLLEY, MA ADELMAN, L BERGMAN, E BERNDT, D BOHI, P BOHM, ...","","","2003"
"Advice and Dissent: Rating the Corporate Governance Compact","RC Amacher, HH Ulbrich, KE Case, RC Fair, WAS Hewins, A Marshall, ...","A Critical Analysis of the Contributions of Notable Black Economists 4 (13), 1-3, 2003","","2003"
"CLIMATE Abrupt Climate Change","RB Alley, J Marotzke, WD Nordhaus, JT Overpeck, DM Peteet, RA Pielke, ...","SCIENCE-NEW YORK THEN WASHINGTON-, 2005-2005, 2003","","2003"
"Historical Environmental National Accounts for Oil Producers","WD Nordhaus, EC Kokkenlenber","","","2002"
"'Warming the World--Economic Models of Global Warming'","G Boero","Economic Record 78 (240), 124, 2002","","2002"
"Kinh t<U+1EBF> h<U+1ECD>c: sách tham kh<U+1EA3>o. T. 1","WD Nordhaus, PA Samuelson","Chính tr<U+1ECB> Qu<U+1ED1>c gia, 2002","","2002"
"REVIEWS-Warming the Word--Economic Models of Global Warming","WD Nordhaus, J Boyer, G Boero","Economic Record 78 (240), 124-125, 2002","","2002"
"Warming the World: Economic Models of Global Warming","F Jöst","Journal of Economics 77 (1), 94-98, 2002","","2002"
"Comment on the Revised Proposed Final Judgement","RE Litan, RG Noll, WD Nordhaus","AEI-Brookings Joint Center for Regulatory Studies, 2002","","2002"
"Second generation integrated climate-change modeling: The NEWDICE model [Final report][RICE-99]","WD Nordhaus","Yale University, New Haven, CT (US), 2001","","2001"
"Fiscal policy, past and present/Comments and discussion","AJ Auerbach, WG Gale, WD Nordhaus","Brookings Papers on Economic Activity, 75-75, 2001","","2001"
"The recent recession, the current recovery, and stock prices/Comment and discussion","WD Nordhaus, GL Perry","Brookings Papers on Economic Activity, 199-199, 2001","","2001"
"Book Review-//Warming the World: Economic Models of Global Warming","WD Nordhaus, J Boyer, TG Moore","Journal of Political Economy 109 (6), 1385-1390, 2001","","2001"
"Remedies Brief of Amici Curiae for USA v. Microsoft","F Scherer, RE Litan, R Noll, W Nordhaus","Washington Post, 2000","","2000"
"Justin Mellor,"" The Negative Effects of Chemobyl on International Environ-mental Law: The Creation of the Polluter Gets Paid Principle,"" 17 Wis. Int'l LJ 65 (1999). A. Midhun …","WD Nordhaus, N Oi, L Wedekind, S Peake","Select Bibliography of Articles and Books in International Environmental Law …, 2000","","2000"
"National Ambient Air Quality Standards (Naaqs) Brief","KJ Arrow, WJ Baumol, EE Bailey, RE Litan, J Bhagwati, MJ Boskin, ...","","","2000"
"Evidence on the High-Income Laffer Curve from Six Decades of Tax Reform","PK Katz, S Levitt, B Meyer, W Nordhaus, JP Joel","Brookings Papers on Economic Activity 1999: 2, 1, 2000","","2000"
"Productivity growth and the new economy/Comments and discussion","WD Nordhaus, RJ Gordon, DE Sichel","Brookings Papers on Economic Activity, 211-211, 2000","","2000"
"Pdicu Modeling","AM Costa, I Adelman, D Salvatore, FG Adams, M Augusztinovics, ...","JOURNAL OF POLICY MODELING, 132, 2000","","2000"
"Remedies Brief of Amici Curiae","F Scherer, RE Litan, RG Noll, WD Nordhaus","Related Publications, 2000","","2000"
"Research in Economic Education","J Kerkvliet, CL Sigmund","The Journal of Economic Education 30 (4), 331-343, 1999","","1999"
"The Swedish Nuclear Dilemma: Energy and the Environment","S Barrett","Journal of Economic Literature 36 (4), 2199, 1998","","1998"
"OPTIMAL CO, ABATEMENT IN THE","A Manne, W Nordhaus, R Richels, D Wheeler","","","1998"
"Note: Cowles Foundation Discussion Papers are preliminary materials","WD Nordhaus","","","1997"
"Managing the Global Commons: The Economics of Climate Change","C AZAR","Environmental Values 6 (1), 106-108, 1997","","1997"
"Kinh t<U+1EBF> h<U+1ECD>c-T<U+1EAD>p 1–Ph<U+1EA7>n 3","PA Samuelson, WD Nordhaus, C Vu, XH Ðinh, XN Nguy<U+1EC5>n","Th<U+1ED1>ng kê, 1997","","1997"
"Kinh t<U+1EBF> h<U+1ECD>c: sách tham kh<U+1EA3>o. T. 1","PA Samuelson, WD Nordhaus","Chính tr<U+1ECB> Qu<U+1ED1>c gia, 1997","","1997"
"The Recent Productivity Slowdown', Brookings Papers on Economic Activity, 3, 493-536","WD Nordhaus","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 77, 413-456, 1997","","1997"
"'Alternative Approaches to the Political Business Cycle', Brookings Papers on Economic Activity, 2, 1-49 and 66-8","WD Nordhaus","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 79, 40-91, 1997","","1997"
"An Application to Global Warming Using the PRICE Model","WD Nordhaus, D Popp","","","1996"
"[BOOK REVIEW] MANAGING THE GLOBAL COMMONS, THE ECONOMICS OF CLIMATE CHANGE","WD Nordhaus","Environmental Politics 5, 376-380, 1996","","1996"
"Managing the Global Commons: The Economics of Climate Change","M Radetzki","The Energy Journal 16 (2), 132-135, 1995","","1995"
"Managing the Global Commons: the Economics of Climate Change","HW Gottinger","Journal of Economics 62 (3), 336-338, 1995","","1995"
"Integrative Assessment","N Nakicenovic, WD Nordhaus, R Richels, FL Toth","","","1994"
"AN OPTIMAL TRANSITION PATH FOR CONTROLLING GREENHOUSE GASES (VOL 258, PG 1315, 1992)","WD NORDHAUS","SCIENCE 259 (5100), 1384-1384, 1993","","1993"
"Priority Envy","JL Sutton","Science 259 (5100), 1384-1384, 1993","","1993"
"Note: Cowles Foundation Discussion Papers are preliminary materials","R Mendelsohn, WD Nordhaus, D Shaw","","","1993"
"The study of crises in liberal democracies: Pitfalls and promises","B Aaron, B Aaron, KW Wed-derburn, JC Abegglen, G Stalk, M Abramovitz, ...","Power, Norms, and Inflation: A Skeptical Treatment 27 (11), iv-iv, 1992","","1992"
"BACKGROUND CONSIDERATIONS","WD Nordhaus","The Energy Journal 12 (1-3), 37, 1991","","1991"
